Region,season,year,Metrics,values
Western North Island,Summer,2010,Cumulative_Intensity,11.85494757
Western North Island,Summer,2011,Number_MHW_days,17.66666667
Western North Island,Summer,2011,Nevents,1.523809524
Western North Island,Summer,2011,Mean_Intensity,1.595955089
Western North Island,Summer,2011,Maximum_Intensity,2.104364746
Western North Island,Summer,2011,Cumulative_Intensity,27.7087528
Western North Island,Summer,2012,Number_MHW_days,4.142857143
Western North Island,Summer,2012,Nevents,0.619047619
Western North Island,Summer,2012,Mean_Intensity,1.576999465
Western North Island,Summer,2012,Maximum_Intensity,1.929583391
Western North Island,Summer,2012,Cumulative_Intensity,6.697171701
Western North Island,Summer,2013,Number_MHW_days,15.14285714
Western North Island,Summer,2013,Nevents,1.666666667
Western North Island,Summer,2013,Mean_Intensity,1.650388443
Western North Island,Summer,2013,Maximum_Intensity,2.69798599
Western North Island,Summer,2013,Cumulative_Intensity,24.93699518
Western North Island,Summer,2014,Number_MHW_days,0.238095238
Western North Island,Summer,2014,Nevents,0.047619048
Western North Island,Summer,2014,Mean_Intensity,1.096320229
Western North Island,Summer,2014,Maximum_Intensity,1.178300763
Western North Island,Summer,2014,Cumulative_Intensity,0.261028626
Western North Island,Summer,2015,Number_MHW_days,31.42857143
Western North Island,Summer,2015,Nevents,2.428571429
Western North Island,Summer,2015,Mean_Intensity,1.667614778
Western North Island,Summer,2015,Maximum_Intensity,2.221957128
Western North Island,Summer,2015,Cumulative_Intensity,52.23375804
Western North Island,Summer,2016,Number_MHW_days,40.66666667
Western North Island,Summer,2016,Nevents,1.428571429
Western North Island,Summer,2016,Mean_Intensity,2.064079617
Western North Island,Summer,2016,Maximum_Intensity,2.828909538
Western North Island,Summer,2016,Cumulative_Intensity,84.05853793
Western North Island,Summer,2017,Number_MHW_days,26.61904762
Western North Island,Summer,2017,Nevents,1.095238095
Western North Island,Summer,2017,Mean_Intensity,2.355085064
Western North Island,Summer,2017,Maximum_Intensity,3.032199967
Western North Island,Summer,2017,Cumulative_Intensity,62.86519928
Western North Island,Summer,2018,Number_MHW_days,64.85714286
Western North Island,Summer,2018,Nevents,3.80952381
Western North Island,Summer,2018,Mean_Intensity,1.843156714
Western North Island,Summer,2018,Maximum_Intensity,3.051556874
Western North Island,Summer,2018,Cumulative_Intensity,120.4465679
Western North Island,Summer,2019,Number_MHW_days,28.47619048
Western North Island,Summer,2019,Nevents,2.666666667
Western North Island,Summer,2019,Mean_Intensity,1.604231306
Western North Island,Summer,2019,Maximum_Intensity,2.386338139
Western North Island,Summer,2019,Cumulative_Intensity,44.63640917
Western North Island,Summer,2020,Number_MHW_days,8.238095238
Western North Island,Summer,2020,Nevents,0.952380952
Western North Island,Summer,2020,Mean_Intensity,1.265781611
Western North Island,Summer,2020,Maximum_Intensity,1.723044512
Western North Island,Summer,2020,Cumulative_Intensity,10.65410472
Western North Island,Summer,2021,Number_MHW_days,35.52380952
Western North Island,Summer,2021,Nevents,1.714285714
Western North Island,Summer,2021,Mean_Intensity,2.75013641
Western North Island,Summer,2021,Maximum_Intensity,3.879433406
Western North Island,Summer,2021,Cumulative_Intensity,96.51598992
Western North Island,Autumn,1982,Number_MHW_days,0
Western North Island,Autumn,1982,Nevents,0
Western North Island,Autumn,1982,Mean_Intensity,0
Western North Island,Autumn,1982,Maximum_Intensity,0
Western North Island,Autumn,1982,Cumulative_Intensity,0
Western North Island,Autumn,1983,Number_MHW_days,0
Western North Island,Autumn,1983,Nevents,0
Western North Island,Autumn,1983,Mean_Intensity,0
Western North Island,Autumn,1983,Maximum_Intensity,0
Western North Island,Autumn,1983,Cumulative_Intensity,0
Western North Island,Autumn,1984,Number_MHW_days,0
Western North Island,Autumn,1984,Nevents,0
Western North Island,Autumn,1984,Mean_Intensity,0
Western North Island,Autumn,1984,Maximum_Intensity,0
Western North Island,Autumn,1984,Cumulative_Intensity,0
Western North Island,Autumn,1985,Number_MHW_days,0
Western North Island,Autumn,1985,Nevents,0
Western North Island,Autumn,1985,Mean_Intensity,0
Western North Island,Autumn,1985,Maximum_Intensity,0
Western North Island,Autumn,1985,Cumulative_Intensity,0
Western North Island,Autumn,1986,Number_MHW_days,2.619047619
Western North Island,Autumn,1986,Nevents,0.428571429
Western North Island,Autumn,1986,Mean_Intensity,1.298233959
Western North Island,Autumn,1986,Maximum_Intensity,1.433944283
Western North Island,Autumn,1986,Cumulative_Intensity,3.37024759
Western North Island,Autumn,1987,Number_MHW_days,0
Western North Island,Autumn,1987,Nevents,0
Western North Island,Autumn,1987,Mean_Intensity,0
Western North Island,Autumn,1987,Maximum_Intensity,0
Western North Island,Autumn,1987,Cumulative_Intensity,0
Western North Island,Autumn,1988,Number_MHW_days,0
Western North Island,Autumn,1988,Nevents,0
Western North Island,Autumn,1988,Mean_Intensity,0
Western North Island,Autumn,1988,Maximum_Intensity,0
Western North Island,Autumn,1988,Cumulative_Intensity,0
Western North Island,Autumn,1989,Number_MHW_days,3.952380952
Western North Island,Autumn,1989,Nevents,0.619047619
Western North Island,Autumn,1989,Mean_Intensity,1.250161241
Western North Island,Autumn,1989,Maximum_Intensity,1.39156899
Western North Island,Autumn,1989,Cumulative_Intensity,5.005256536
Western North Island,Autumn,1990,Number_MHW_days,16.38095238
Western North Island,Autumn,1990,Nevents,1.333333333
Western North Island,Autumn,1990,Mean_Intensity,1.521099252
Western North Island,Autumn,1990,Maximum_Intensity,1.9384857
Western North Island,Autumn,1990,Cumulative_Intensity,24.66564786
Western North Island,Autumn,1991,Number_MHW_days,0
Western North Island,Autumn,1991,Nevents,0
Western North Island,Autumn,1991,Mean_Intensity,0
Western North Island,Autumn,1991,Maximum_Intensity,0
Western North Island,Autumn,1991,Cumulative_Intensity,0
Western North Island,Autumn,1992,Number_MHW_days,0
Western North Island,Autumn,1992,Nevents,0
Western North Island,Autumn,1992,Mean_Intensity,0
Western North Island,Autumn,1992,Maximum_Intensity,0
Western North Island,Autumn,1992,Cumulative_Intensity,0
Western North Island,Autumn,1993,Number_MHW_days,0
Western North Island,Autumn,1993,Nevents,0
Western North Island,Autumn,1993,Mean_Intensity,0
Western North Island,Autumn,1993,Maximum_Intensity,0
Western North Island,Autumn,1993,Cumulative_Intensity,0
