Scale,Region_Name,Season_Name,Metrics,P_Value_ModifMK,Sens_Slope,P_Value,Change_Point_Year,Change_Point_pvalue,lm_slope,Sens_Slope_pre,P_Value_pre,Sens_Slope_post,P_Value_post,Trend_Decadal,Trend_Decadal_lm,Trend_Decadal_pre,Trend_Decadal_post
Region x Season_12NM,Central New Zealand,Summer,Nevents,4.9808091781637454e-5,0.0219791666666667,0.00873654835323546,2009,0.031541331630213,0.02532129455909942,0,1,0.0813194444444444,0.160555891435809,0.219791666666667,0.2532129455909942,0,0.813194444444444
Region x Season_12NM,Central New Zealand,Winter,Nevents,1.6857463182038956e-15,0.0262275985663082,7.25160229778893e-5,1996,1.52225816857183e-4,0.02994136960600369,0,0.745961088883831,0.0208333333333333,0.280009304459619,0.26227598566308197,0.2994136960600369,0,0.208333333333333
Region x Season_12NM,Chatham Island,Autumn,Nevents,4.089292628648084e-4,0.00555555555555556,0.0240442316787915,1997,0.0966666356258652,0.01903533458411507,0,1,0.00763888888888889,0.542559087814795,0.0555555555555556,0.1903533458411507,0,0.07638888888888891
Region x Season_12NM,Chatham Island,Spring,Nevents,8.410750422456386e-6,0.0277777777777778,0.0014480556295659,1998,0.0515403952593022,0.0456105378361475,0,0.68652905232221,0.0625,0.0603093060418492,0.277777777777778,0.45610537836147497,0,0.625
Region x Season_12NM,Chatham Island,Summer,Nevents,8.157658455298127e-4,0.0194444444444444,0.0671395426044649,1999,0.228550254445066,0.02919011882426513,-0.00833333333333334,0.31430913457015,0.0357142857142857,0.202791645427044,0.194444444444444,0.2919011882426513,-0.0833333333333334,0.357142857142857
Region x Season_12NM,Chatham Island,Winter,Nevents,2.223665998651603e-32,0.0464324618736383,6.08701966511043e-5,1998,9.12861861862655e-4,0.04914399624765468,0,0.866952511075341,0.0475898692810457,0.116013420957031,0.46432461873638303,0.49143996247654687,0,0.475898692810457
Region x Season_12NM,Kermadec Island,Autumn,Nevents,1.3745901558143958e-14,0.0218253968253968,0.0212813104624481,1994,0.0496843028361309,0.02509380863039396,0,0.498330255254639,0.00496031746031746,0.633236017069025,0.218253968253968,0.2509380863039396,0,0.0496031746031746
Region x Season_12NM,Kermadec Island,Spring,Nevents,7.218920958409241e-18,0.0291666666666667,1.45667938636741e-6,2004,2.71848004841981e-4,0.03599124452782982,0,0.409964488134838,0.075,0.00180279112072622,0.29166666666666696,0.3599124452782982,0,0.75
Region x Season_12NM,Kermadec Island,Summer,Nevents,4.046397725480849e-6,0.0211309523809524,0.0180503524770876,2003,0.0874062765091126,0.02925265791119447,0,0.858442026757827,0.0681818181818182,0.245862664615842,0.211309523809524,0.2925265791119447,0,0.6818181818181821
Region x Season_12NM,Kermadec Island,Winter,Nevents,3.107465448543982e-5,0.0186678614097969,3.32923805330119e-4,2001,0.00375274595017546,0.03721857410881794,0,0.712432408605965,0.0470328282828283,0.161009761651568,0.186678614097969,0.37218574108817937,0,0.470328282828283
