ECOREGION,season,year,Metrics,values
Kermadec Island,Summer,2014,Cumulative_Intensity,61.79802550226847
Kermadec Island,Summer,2015,Number_MHW_days,0
Kermadec Island,Summer,2015,Nevents,0
Kermadec Island,Summer,2015,Mean_Intensity,0
Kermadec Island,Summer,2015,Maximum_Intensity,0
Kermadec Island,Summer,2015,Cumulative_Intensity,0
Kermadec Island,Summer,2016,Number_MHW_days,6.083333333333333
Kermadec Island,Summer,2016,Nevents,1
Kermadec Island,Summer,2016,Mean_Intensity,1.3675150979323614
Kermadec Island,Summer,2016,Maximum_Intensity,1.6280700839233393
Kermadec Island,Summer,2016,Cumulative_Intensity,8.560357697550456
Kermadec Island,Summer,2017,Number_MHW_days,11.166666666666666
Kermadec Island,Summer,2017,Nevents,0.75
Kermadec Island,Summer,2017,Mean_Intensity,1.5757074631657557
Kermadec Island,Summer,2017,Maximum_Intensity,2.31318581237793
Kermadec Island,Summer,2017,Cumulative_Intensity,18.411925095367433
Kermadec Island,Summer,2018,Number_MHW_days,14.916666666666666
Kermadec Island,Summer,2018,Nevents,1
Kermadec Island,Summer,2018,Mean_Intensity,1.6279564754178104
Kermadec Island,Summer,2018,Maximum_Intensity,1.9899085304260253
Kermadec Island,Summer,2018,Cumulative_Intensity,24.10375743052165
Kermadec Island,Summer,2019,Number_MHW_days,23.333333333333332
Kermadec Island,Summer,2019,Nevents,2.0833333333333335
Kermadec Island,Summer,2019,Mean_Intensity,1.6281684766964308
Kermadec Island,Summer,2019,Maximum_Intensity,2.251149713897705
Kermadec Island,Summer,2019,Cumulative_Intensity,38.170707754770916
Kermadec Island,Summer,2020,Number_MHW_days,20.416666666666668
Kermadec Island,Summer,2020,Nevents,3
Kermadec Island,Summer,2020,Mean_Intensity,1.5274466997437912
Kermadec Island,Summer,2020,Maximum_Intensity,2.057408371480306
Kermadec Island,Summer,2020,Cumulative_Intensity,31.17291669845581
Kermadec Island,Summer,2021,Number_MHW_days,22.25
Kermadec Island,Summer,2021,Nevents,1.6666666666666667
Kermadec Island,Summer,2021,Mean_Intensity,1.6051860320132705
Kermadec Island,Summer,2021,Maximum_Intensity,2.2486169209798175
Kermadec Island,Summer,2021,Cumulative_Intensity,35.85148297093709
Kermadec Island,Autumn,1982,Number_MHW_days,0
Kermadec Island,Autumn,1982,Nevents,0
Kermadec Island,Autumn,1982,Mean_Intensity,0
Kermadec Island,Autumn,1982,Maximum_Intensity,0
Kermadec Island,Autumn,1982,Cumulative_Intensity,0
Kermadec Island,Autumn,1983,Number_MHW_days,4.5
Kermadec Island,Autumn,1983,Nevents,0.3333333333333333
Kermadec Island,Autumn,1983,Mean_Intensity,1.0025766500303481
Kermadec Island,Autumn,1983,Maximum_Intensity,1.121175133514405
Kermadec Island,Autumn,1983,Cumulative_Intensity,4.692824993642172
Kermadec Island,Autumn,1984,Number_MHW_days,4.333333333333333
Kermadec Island,Autumn,1984,Nevents,0.6666666666666666
Kermadec Island,Autumn,1984,Mean_Intensity,1.0794103785953824
Kermadec Island,Autumn,1984,Maximum_Intensity,1.1663621948242184
Kermadec Island,Autumn,1984,Cumulative_Intensity,4.688216482289632
Kermadec Island,Autumn,1985,Number_MHW_days,0
Kermadec Island,Autumn,1985,Nevents,0
Kermadec Island,Autumn,1985,Mean_Intensity,0
Kermadec Island,Autumn,1985,Maximum_Intensity,0
Kermadec Island,Autumn,1985,Cumulative_Intensity,0
Kermadec Island,Autumn,1986,Number_MHW_days,0
Kermadec Island,Autumn,1986,Nevents,0
Kermadec Island,Autumn,1986,Mean_Intensity,0
Kermadec Island,Autumn,1986,Maximum_Intensity,0
Kermadec Island,Autumn,1986,Cumulative_Intensity,0
Kermadec Island,Autumn,1987,Number_MHW_days,0
Kermadec Island,Autumn,1987,Nevents,0
Kermadec Island,Autumn,1987,Mean_Intensity,0
Kermadec Island,Autumn,1987,Maximum_Intensity,0
Kermadec Island,Autumn,1987,Cumulative_Intensity,0
Kermadec Island,Autumn,1988,Number_MHW_days,8.75
Kermadec Island,Autumn,1988,Nevents,1.3333333333333333
Kermadec Island,Autumn,1988,Mean_Intensity,1.3429930526316378
Kermadec Island,Autumn,1988,Maximum_Intensity,2.1325500190734865
Kermadec Island,Autumn,1988,Cumulative_Intensity,11.798100095367433
Kermadec Island,Autumn,1989,Number_MHW_days,0
Kermadec Island,Autumn,1989,Nevents,0
Kermadec Island,Autumn,1989,Mean_Intensity,0
Kermadec Island,Autumn,1989,Maximum_Intensity,0
Kermadec Island,Autumn,1989,Cumulative_Intensity,0
Kermadec Island,Autumn,1990,Number_MHW_days,7.75
Kermadec Island,Autumn,1990,Nevents,1
Kermadec Island,Autumn,1990,Mean_Intensity,1.4967074177289892
Kermadec Island,Autumn,1990,Maximum_Intensity,1.7062918637593583
Kermadec Island,Autumn,1990,Cumulative_Intensity,11.765624694824218
Kermadec Island,Autumn,1991,Number_MHW_days,0
Kermadec Island,Autumn,1991,Nevents,0
Kermadec Island,Autumn,1991,Mean_Intensity,0
Kermadec Island,Autumn,1991,Maximum_Intensity,0
Kermadec Island,Autumn,1991,Cumulative_Intensity,0
Kermadec Island,Autumn,1992,Number_MHW_days,0
Kermadec Island,Autumn,1992,Nevents,0
Kermadec Island,Autumn,1992,Mean_Intensity,0
Kermadec Island,Autumn,1992,Maximum_Intensity,0
Kermadec Island,Autumn,1992,Cumulative_Intensity,0
Kermadec Island,Autumn,1993,Number_MHW_days,0
Kermadec Island,Autumn,1993,Nevents,0
Kermadec Island,Autumn,1993,Mean_Intensity,0
Kermadec Island,Autumn,1993,Maximum_Intensity,0
Kermadec Island,Autumn,1993,Cumulative_Intensity,0
Kermadec Island,Autumn,1994,Number_MHW_days,0
Kermadec Island,Autumn,1994,Nevents,0
Kermadec Island,Autumn,1994,Mean_Intensity,0
Kermadec Island,Autumn,1994,Maximum_Intensity,0
Kermadec Island,Autumn,1994,Cumulative_Intensity,0
Kermadec Island,Autumn,1995,Number_MHW_days,11.666666666666666
Kermadec Island,Autumn,1995,Nevents,1.5
Kermadec Island,Autumn,1995,Mean_Intensity,1.1493630042515655
Kermadec Island,Autumn,1995,Maximum_Intensity,1.535916405995687
Kermadec Island,Autumn,1995,Cumulative_Intensity,13.408550089009601
Kermadec Island,Autumn,1996,Number_MHW_days,17.5
Kermadec Island,Autumn,1996,Nevents,1.9166666666666667
Kermadec Island,Autumn,1996,Mean_Intensity,1.2540174103083686
Kermadec Island,Autumn,1996,Maximum_Intensity,1.6432755849202474
Kermadec Island,Autumn,1996,Cumulative_Intensity,21.943667938232423
Kermadec Island,Autumn,1997,Number_MHW_days,11.25
Kermadec Island,Autumn,1997,Nevents,1
Kermadec Island,Autumn,1997,Mean_Intensity,2.046277331221224
Kermadec Island,Autumn,1997,Maximum_Intensity,2.511758644866944
Kermadec Island,Autumn,1997,Cumulative_Intensity,23.003957602183025
Kermadec Island,Autumn,1998,Number_MHW_days,61.833333333333336
Kermadec Island,Autumn,1998,Nevents,1.1666666666666667
Kermadec Island,Autumn,1998,Mean_Intensity,1.8483111209761296
Kermadec Island,Autumn,1998,Maximum_Intensity,2.9184918192545566
Kermadec Island,Autumn,1998,Cumulative_Intensity,114.97056039962769
Kermadec Island,Autumn,1999,Number_MHW_days,0.8333333333333334
Kermadec Island,Autumn,1999,Nevents,0.16666666666666666
Kermadec Island,Autumn,1999,Mean_Intensity,1.1014498703002933
Kermadec Island,Autumn,1999,Maximum_Intensity,1.1621497329711925
Kermadec Island,Autumn,1999,Cumulative_Intensity,0.917874891916911
Kermadec Island,Autumn,2000,Number_MHW_days,4.166666666666667
Kermadec Island,Autumn,2000,Nevents,0.5833333333333334
Kermadec Island,Autumn,2000,Mean_Intensity,1.4444335618918285
Kermadec Island,Autumn,2000,Maximum_Intensity,1.6324712214878632
Kermadec Island,Autumn,2000,Cumulative_Intensity,6.1210499745686855
Kermadec Island,Autumn,2001,Number_MHW_days,0
Kermadec Island,Autumn,2001,Nevents,0
Kermadec Island,Autumn,2001,Mean_Intensity,0
Kermadec Island,Autumn,2001,Maximum_Intensity,0
Kermadec Island,Autumn,2001,Cumulative_Intensity,0
Kermadec Island,Autumn,2002,Number_MHW_days,2.25
Kermadec Island,Autumn,2002,Nevents,0.3333333333333333
Kermadec Island,Autumn,2002,Mean_Intensity,1.000245734877153
Kermadec Island,Autumn,2002,Maximum_Intensity,1.1358500381469732
Kermadec Island,Autumn,2002,Cumulative_Intensity,2.231016774749756
Kermadec Island,Autumn,2003,Number_MHW_days,8.583333333333334
Kermadec Island,Autumn,2003,Nevents,0.9166666666666666
